
19-04-2016 21:18:03:925 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:8, Y:13, Key:A)
19-04-2016 21:18:04:187 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:14, Y:14, Key:D)
19-04-2016 21:18:04:187 - D: 	Beginning round processing
19-04-2016 21:18:04:187 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:04:187 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:04:187 - D: 	Detonating Bombs
19-04-2016 21:18:04:187 - D: 	Processing Player Commands
19-04-2016 21:18:04:187 - D: 	Applying player power ups
19-04-2016 21:18:04:187 - D: 	Destroying marked entities
19-04-2016 21:18:04:187 - I: 	Player PlayerEntity(X:8, Y:14, Key:A) has a movement coverage of 14,23% for the map
19-04-2016 21:18:04:187 - I: 	Player PlayerEntity(X:14, Y:14, Key:D) has a movement coverage of 14,59% for the map
19-04-2016 21:18:04:187 - D: 	Round processing complete
