
19-04-2016 21:18:36:531 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:14, Key:A)
19-04-2016 21:18:36:764 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:9, Y:16, Key:D)
19-04-2016 21:18:36:764 - D: 	Beginning round processing
19-04-2016 21:18:36:764 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:36:764 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:36:764 - D: 	Detonating Bombs
19-04-2016 21:18:36:764 - D: 	Processing Player Commands
19-04-2016 21:18:36:764 - D: 	Applying player power ups
19-04-2016 21:18:36:764 - D: 	Destroying marked entities
19-04-2016 21:18:36:764 - I: 	Player PlayerEntity(X:4, Y:15, Key:A) has a movement coverage of 19,93% for the map
19-04-2016 21:18:36:764 - I: 	Player PlayerEntity(X:8, Y:16, Key:D) has a movement coverage of 20,28% for the map
19-04-2016 21:18:36:764 - D: 	Round processing complete
