
19-04-2016 21:18:55:928 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:15, Key:A)
19-04-2016 21:18:56:147 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:10, Key:D)
19-04-2016 21:18:56:147 - D: 	Beginning round processing
19-04-2016 21:18:56:147 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:56:147 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:56:147 - D: 	Detonating Bombs
19-04-2016 21:18:56:147 - D: 	Processing Player Commands
19-04-2016 21:18:56:147 - D: 	Applying player power ups
19-04-2016 21:18:56:147 - D: 	Destroying marked entities
19-04-2016 21:18:56:147 - I: 	Player PlayerEntity(X:6, Y:14, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:18:56:147 - I: 	Player PlayerEntity(X:6, Y:9, Key:D) has a movement coverage of 27,05% for the map
19-04-2016 21:18:56:147 - D: 	Round processing complete
