
19-04-2016 21:19:05:546 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:17, Key:A)
19-04-2016 21:19:05:789 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:6, Y:9, Key:D)
19-04-2016 21:19:05:789 - D: 	Beginning round processing
19-04-2016 21:19:05:789 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:05:789 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:05:789 - D: 	Detonating Bombs
19-04-2016 21:19:05:790 - D: 	Processing Player Commands
19-04-2016 21:19:05:790 - D: 	Applying player power ups
19-04-2016 21:19:05:790 - D: 	Destroying marked entities
19-04-2016 21:19:05:790 - I: 	Player PlayerEntity(X:6, Y:18, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:19:05:790 - I: 	Player PlayerEntity(X:6, Y:9, Key:D) has a movement coverage of 29,54% for the map
19-04-2016 21:19:05:790 - D: 	Round processing complete
