
19-04-2016 21:18:33:666 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:9, Y:14, Key:A)
19-04-2016 21:18:33:914 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:14, Y:16, Key:D)
19-04-2016 21:18:33:914 - D: 	Beginning round processing
19-04-2016 21:18:33:914 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:33:914 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:33:914 - D: 	Detonating Bombs
19-04-2016 21:18:33:914 - D: 	Processing Player Commands
19-04-2016 21:18:33:914 - D: 	Applying player power ups
19-04-2016 21:18:33:914 - D: 	Destroying marked entities
19-04-2016 21:18:33:914 - I: 	Player PlayerEntity(X:8, Y:14, Key:A) has a movement coverage of 18,86% for the map
19-04-2016 21:18:33:914 - I: 	Player PlayerEntity(X:13, Y:16, Key:D) has a movement coverage of 18,86% for the map
19-04-2016 21:18:33:914 - D: 	Round processing complete
