
19-04-2016 21:16:53:186 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:5, Y:6, Key:A)
19-04-2016 21:16:53:455 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:16, Key:B)
19-04-2016 21:16:53:689 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:17, Key:C)
19-04-2016 21:16:53:911 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:6, Key:D)
19-04-2016 21:16:53:911 - D: 	Beginning round processing
19-04-2016 21:16:53:911 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:53:911 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:53:911 - D: 	Detonating Bombs
19-04-2016 21:16:53:911 - I: 	Detonating Bomb BombEntity(X:4, Y:8, Radius:1, Timer:0, Owner:A)
19-04-2016 21:16:53:911 - D: 	Processing Player Commands
19-04-2016 21:16:53:911 - D: 	Applying player power ups
19-04-2016 21:16:53:911 - D: 	Destroying marked entities
19-04-2016 21:16:53:911 - D: 	Destroyed Entity DestructibleWallEntity(X:3, Y:8)
19-04-2016 21:16:53:911 - D: 	Destroyed Entity DestructibleWallEntity(X:4, Y:9)
19-04-2016 21:16:53:911 - I: 	Player PlayerEntity(X:5, Y:6, Key:A) has a movement coverage of 3,56% for the map
19-04-2016 21:16:53:911 - I: 	Player PlayerEntity(X:18, Y:15, Key:B) has a movement coverage of 3,91% for the map
19-04-2016 21:16:53:911 - I: 	Player PlayerEntity(X:6, Y:16, Key:C) has a movement coverage of 4,27% for the map
19-04-2016 21:16:53:911 - I: 	Player PlayerEntity(X:18, Y:5, Key:D) has a movement coverage of 3,56% for the map
19-04-2016 21:16:53:911 - D: 	Round processing complete
