
19-04-2016 21:18:31:920 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:12, Y:14, Key:A)
19-04-2016 21:18:32:154 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:17, Y:16, Key:D)
19-04-2016 21:18:32:154 - D: 	Beginning round processing
19-04-2016 21:18:32:154 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:32:155 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:32:155 - D: 	Detonating Bombs
19-04-2016 21:18:32:155 - D: 	Processing Player Commands
19-04-2016 21:18:32:155 - D: 	Applying player power ups
19-04-2016 21:18:32:155 - D: 	Destroying marked entities
19-04-2016 21:18:32:155 - I: 	Player PlayerEntity(X:11, Y:14, Key:A) has a movement coverage of 18,86% for the map
19-04-2016 21:18:32:155 - I: 	Player PlayerEntity(X:16, Y:16, Key:D) has a movement coverage of 18,86% for the map
19-04-2016 21:18:32:155 - D: 	Round processing complete
