
19-04-2016 21:17:55:771 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:17, Key:A)
19-04-2016 21:17:56:091 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:16, Y:13, Key:D)
19-04-2016 21:17:56:091 - D: 	Beginning round processing
19-04-2016 21:17:56:091 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:56:091 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:56:091 - D: 	Detonating Bombs
19-04-2016 21:17:56:091 - I: 	Detonating Bomb BombEntity(X:15, Y:14, Radius:8, Timer:0, Owner:D)
19-04-2016 21:17:56:091 - D: 	Processing Player Commands
19-04-2016 21:17:56:091 - D: 	Applying player power ups
19-04-2016 21:17:56:091 - D: 	Destroying marked entities
19-04-2016 21:17:56:091 - D: 	Destroyed Entity DestructibleWallEntity(X:14, Y:14)
19-04-2016 21:17:56:091 - D: 	Destroyed Entity DestructibleWallEntity(X:19, Y:14)
19-04-2016 21:17:56:091 - I: 	Player PlayerEntity(X:10, Y:18, Key:A) has a movement coverage of 13,52% for the map
19-04-2016 21:17:56:091 - I: 	Player PlayerEntity(X:16, Y:12, Key:D) has a movement coverage of 12,10% for the map
19-04-2016 21:17:56:091 - D: 	Round processing complete
