
19-04-2016 21:18:19:603 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:8, Y:11, Key:A)
19-04-2016 21:18:19:830 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:16, Key:D)
19-04-2016 21:18:19:830 - D: 	Beginning round processing
19-04-2016 21:18:19:830 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:19:830 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:19:830 - D: 	Detonating Bombs
19-04-2016 21:18:19:830 - D: 	Processing Player Commands
19-04-2016 21:18:19:830 - D: 	Applying player power ups
19-04-2016 21:18:19:830 - D: 	Destroying marked entities
19-04-2016 21:18:19:831 - I: 	Player PlayerEntity(X:8, Y:11, Key:A) has a movement coverage of 16,01% for the map
19-04-2016 21:18:19:831 - I: 	Player PlayerEntity(X:14, Y:15, Key:D) has a movement coverage of 16,01% for the map
19-04-2016 21:18:19:831 - D: 	Round processing complete
