
19-04-2016 21:17:58:863 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:10, Y:14, Key:A)
19-04-2016 21:17:59:108 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:16, Y:13, Key:D)
19-04-2016 21:17:59:108 - D: 	Beginning round processing
19-04-2016 21:17:59:108 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:59:108 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:59:108 - D: 	Detonating Bombs
19-04-2016 21:17:59:108 - D: 	Processing Player Commands
19-04-2016 21:17:59:108 - D: 	Applying player power ups
19-04-2016 21:17:59:108 - D: 	Destroying marked entities
19-04-2016 21:17:59:108 - I: 	Player PlayerEntity(X:10, Y:14, Key:A) has a movement coverage of 13,52% for the map
19-04-2016 21:17:59:108 - I: 	Player PlayerEntity(X:16, Y:13, Key:D) has a movement coverage of 12,46% for the map
19-04-2016 21:17:59:108 - D: 	Round processing complete
