
19-04-2016 21:16:48:721 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:4, Y:8, Key:A)
19-04-2016 21:16:48:953 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:17, Y:16, Key:B)
19-04-2016 21:16:49:176 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:17, Key:C)
19-04-2016 21:16:49:405 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:17, Y:6, Key:D)
19-04-2016 21:16:49:405 - D: 	Beginning round processing
19-04-2016 21:16:49:405 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:49:405 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:49:405 - D: 	Detonating Bombs
19-04-2016 21:16:49:405 - I: 	Detonating Bomb BombEntity(X:18, Y:4, Radius:1, Timer:0, Owner:D)
19-04-2016 21:16:49:405 - I: 	Detonating Bomb BombEntity(X:18, Y:18, Radius:1, Timer:0, Owner:B)
19-04-2016 21:16:49:405 - D: 	Processing Player Commands
19-04-2016 21:16:49:405 - D: 	Applying player power ups
19-04-2016 21:16:49:405 - D: 	Destroying marked entities
19-04-2016 21:16:49:405 - D: 	Destroyed Entity DestructibleWallEntity(X:17, Y:4)
19-04-2016 21:16:49:405 - D: 	Destroyed Entity DestructibleWallEntity(X:17, Y:18)
19-04-2016 21:16:49:405 - I: 	Player PlayerEntity(X:4, Y:8, Key:A) has a movement coverage of 3,56% for the map
19-04-2016 21:16:49:405 - I: 	Player PlayerEntity(X:17, Y:16, Key:B) has a movement coverage of 3,56% for the map
19-04-2016 21:16:49:405 - I: 	Player PlayerEntity(X:4, Y:18, Key:C) has a movement coverage of 2,85% for the map
19-04-2016 21:16:49:405 - I: 	Player PlayerEntity(X:17, Y:6, Key:D) has a movement coverage of 3,56% for the map
19-04-2016 21:16:49:405 - D: 	Round processing complete
