
19-04-2016 21:18:08:607 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:10, Y:16, Key:A)
19-04-2016 21:18:08:877 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:12, Y:16, Key:D)
19-04-2016 21:18:08:877 - D: 	Beginning round processing
19-04-2016 21:18:08:877 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:08:877 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:08:877 - D: 	Detonating Bombs
19-04-2016 21:18:08:877 - D: 	Processing Player Commands
19-04-2016 21:18:08:877 - D: 	Applying player power ups
19-04-2016 21:18:08:877 - D: 	Destroying marked entities
19-04-2016 21:18:08:877 - I: 	Player PlayerEntity(X:10, Y:15, Key:A) has a movement coverage of 14,59% for the map
19-04-2016 21:18:08:877 - I: 	Player PlayerEntity(X:13, Y:16, Key:D) has a movement coverage of 15,30% for the map
19-04-2016 21:18:08:877 - D: 	Round processing complete
