
19-04-2016 21:17:46:491 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:6, Y:12, Key:A)
19-04-2016 21:17:46:824 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:6, Y:16, Key:B)
19-04-2016 21:17:47:050 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:14, Y:9, Key:D)
19-04-2016 21:17:47:050 - D: 	Beginning round processing
19-04-2016 21:17:47:050 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:47:050 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:47:050 - D: 	Detonating Bombs
19-04-2016 21:17:47:050 - I: 	Detonating Bomb BombEntity(X:12, Y:8, Radius:8, Timer:0, Owner:D)
19-04-2016 21:17:47:050 - D: 	Processing Player Commands
19-04-2016 21:17:47:050 - D: 	Applying player power ups
19-04-2016 21:17:47:050 - D: 	Destroying marked entities
19-04-2016 21:17:47:050 - D: 	Destroyed Entity DestructibleWallEntity(X:11, Y:8)
19-04-2016 21:17:47:050 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:9)
19-04-2016 21:17:47:050 - I: 	Player PlayerEntity(X:6, Y:12, Key:A) has a movement coverage of 11,03% for the map
19-04-2016 21:17:47:050 - I: 	Player PlayerEntity(X:6, Y:16, Key:B) has a movement coverage of 13,52% for the map
19-04-2016 21:17:47:050 - I: 	Player PlayerEntity(X:14, Y:10, Key:D) has a movement coverage of 9,61% for the map
19-04-2016 21:17:47:050 - D: 	Round processing complete
