
19-04-2016 21:18:46:358 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:19, Key:A)
19-04-2016 21:18:46:581 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:13, Key:D)
19-04-2016 21:18:46:581 - D: 	Beginning round processing
19-04-2016 21:18:46:581 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:46:581 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:46:581 - D: 	Detonating Bombs
19-04-2016 21:18:46:581 - D: 	Processing Player Commands
19-04-2016 21:18:46:581 - D: 	Applying player power ups
19-04-2016 21:18:46:581 - D: 	Destroying marked entities
19-04-2016 21:18:46:581 - I: 	Player PlayerEntity(X:6, Y:18, Key:A) has a movement coverage of 22,42% for the map
19-04-2016 21:18:46:581 - I: 	Player PlayerEntity(X:2, Y:14, Key:D) has a movement coverage of 23,84% for the map
19-04-2016 21:18:46:581 - D: 	Round processing complete
