
19-04-2016 21:16:55:339 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:5, Y:6, Key:A)
19-04-2016 21:16:55:610 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:18, Y:14, Key:B)
19-04-2016 21:16:55:838 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:6, Y:15, Key:C)
19-04-2016 21:16:56:060 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:18, Y:4, Key:D)
19-04-2016 21:16:56:060 - D: 	Beginning round processing
19-04-2016 21:16:56:060 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:56:060 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:56:061 - D: 	Detonating Bombs
19-04-2016 21:16:56:061 - I: 	Detonating Bomb BombEntity(X:17, Y:6, Radius:1, Timer:0, Owner:D)
19-04-2016 21:16:56:061 - I: 	Detonating Bomb BombEntity(X:17, Y:16, Radius:1, Timer:0, Owner:B)
19-04-2016 21:16:56:061 - D: 	Processing Player Commands
19-04-2016 21:16:56:061 - D: 	Applying player power ups
19-04-2016 21:16:56:061 - D: 	Destroying marked entities
19-04-2016 21:16:56:061 - D: 	Destroyed Entity DestructibleWallEntity(X:16, Y:6)
19-04-2016 21:16:56:061 - D: 	Destroyed Entity DestructibleWallEntity(X:16, Y:16)
19-04-2016 21:16:56:061 - I: 	Player PlayerEntity(X:4, Y:6, Key:A) has a movement coverage of 3,56% for the map
19-04-2016 21:16:56:061 - I: 	Player PlayerEntity(X:18, Y:14, Key:B) has a movement coverage of 4,27% for the map
19-04-2016 21:16:56:061 - I: 	Player PlayerEntity(X:6, Y:15, Key:C) has a movement coverage of 4,63% for the map
19-04-2016 21:16:56:061 - I: 	Player PlayerEntity(X:17, Y:4, Key:D) has a movement coverage of 3,91% for the map
19-04-2016 21:16:56:061 - D: 	Round processing complete
