
19-04-2016 21:18:40:206 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:3, Y:16, Key:A)
19-04-2016 21:18:40:570 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:15, Key:D)
19-04-2016 21:18:40:570 - D: 	Beginning round processing
19-04-2016 21:18:40:570 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:40:570 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:40:570 - D: 	Detonating Bombs
19-04-2016 21:18:40:570 - D: 	Processing Player Commands
19-04-2016 21:18:40:570 - D: 	Applying player power ups
19-04-2016 21:18:40:570 - D: 	Destroying marked entities
19-04-2016 21:18:40:570 - I: 	Player PlayerEntity(X:4, Y:16, Key:A) has a movement coverage of 20,64% for the map
19-04-2016 21:18:40:570 - I: 	Player PlayerEntity(X:4, Y:14, Key:D) has a movement coverage of 22,42% for the map
19-04-2016 21:18:40:570 - D: 	Round processing complete
