
19-04-2016 21:17:16:130 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:8, Key:A)
19-04-2016 21:17:16:355 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:16, Y:11, Key:B)
19-04-2016 21:17:16:577 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:7, Key:D)
19-04-2016 21:17:16:577 - D: 	Beginning round processing
19-04-2016 21:17:16:577 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:16:577 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:16:577 - D: 	Detonating Bombs
19-04-2016 21:17:16:577 - I: 	Detonating Bomb BombEntity(X:14, Y:6, Radius:2, Timer:0, Owner:D)
19-04-2016 21:17:16:577 - D: 	Processing Player Commands
19-04-2016 21:17:16:577 - D: 	Applying player power ups
19-04-2016 21:17:16:578 - D: 	Destroying marked entities
19-04-2016 21:17:16:578 - D: 	Destroyed Entity DestructibleWallEntity(X:14, Y:7)
19-04-2016 21:17:16:578 - I: 	Player PlayerEntity(X:6, Y:9, Key:A) has a movement coverage of 6,41% for the map
19-04-2016 21:17:16:578 - I: 	Player PlayerEntity(X:16, Y:10, Key:B) has a movement coverage of 7,47% for the map
19-04-2016 21:17:16:578 - I: 	Player PlayerEntity(X:16, Y:8, Key:D) has a movement coverage of 6,41% for the map
19-04-2016 21:17:16:578 - D: 	Round processing complete
