
19-04-2016 21:17:41:826 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:8, Y:14, Key:A)
19-04-2016 21:17:42:076 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:16, Key:B)
19-04-2016 21:17:42:306 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:12, Y:8, Key:D)
19-04-2016 21:17:42:307 - D: 	Beginning round processing
19-04-2016 21:17:42:307 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:42:307 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:42:307 - D: 	Detonating Bombs
19-04-2016 21:17:42:307 - D: 	Processing Player Commands
19-04-2016 21:17:42:307 - D: 	Applying player power ups
19-04-2016 21:17:42:307 - D: 	Destroying marked entities
19-04-2016 21:17:42:307 - I: 	Player PlayerEntity(X:7, Y:14, Key:A) has a movement coverage of 11,03% for the map
19-04-2016 21:17:42:307 - I: 	Player PlayerEntity(X:6, Y:17, Key:B) has a movement coverage of 13,17% for the map
19-04-2016 21:17:42:307 - I: 	Player PlayerEntity(X:12, Y:8, Key:D) has a movement coverage of 8,90% for the map
19-04-2016 21:17:42:307 - D: 	Round processing complete
