
19-04-2016 21:18:15:080 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:9, Y:12, Key:A)
19-04-2016 21:18:15:312 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:12, Y:14, Key:D)
19-04-2016 21:18:15:312 - D: 	Beginning round processing
19-04-2016 21:18:15:312 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:15:312 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:15:312 - D: 	Detonating Bombs
19-04-2016 21:18:15:312 - D: 	Processing Player Commands
19-04-2016 21:18:15:312 - D: 	Applying player power ups
19-04-2016 21:18:15:312 - D: 	Destroying marked entities
19-04-2016 21:18:15:313 - I: 	Player PlayerEntity(X:10, Y:12, Key:A) has a movement coverage of 15,66% for the map
19-04-2016 21:18:15:313 - I: 	Player PlayerEntity(X:12, Y:14, Key:D) has a movement coverage of 16,01% for the map
19-04-2016 21:18:15:313 - D: 	Round processing complete
