
19-04-2016 21:17:49:504 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:12, Key:A)
19-04-2016 21:17:49:738 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:10, Key:D)
19-04-2016 21:17:49:738 - D: 	Beginning round processing
19-04-2016 21:17:49:738 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:49:738 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:49:738 - D: 	Detonating Bombs
19-04-2016 21:17:49:738 - D: 	Processing Player Commands
19-04-2016 21:17:49:738 - D: 	Applying player power ups
19-04-2016 21:17:49:738 - D: 	Destroying marked entities
19-04-2016 21:17:49:738 - I: 	Player PlayerEntity(X:6, Y:13, Key:A) has a movement coverage of 11,39% for the map
19-04-2016 21:17:49:738 - I: 	Player PlayerEntity(X:16, Y:11, Key:D) has a movement coverage of 10,68% for the map
19-04-2016 21:17:49:738 - D: 	Round processing complete
