
19-04-2016 21:17:31:373 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:7, Y:14, Key:A)
19-04-2016 21:17:31:594 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:16, Y:16, Key:B)
19-04-2016 21:17:31:821 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:14, Y:7, Key:D)
19-04-2016 21:17:31:821 - D: 	Beginning round processing
19-04-2016 21:17:31:821 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:31:821 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:31:821 - D: 	Detonating Bombs
19-04-2016 21:17:31:821 - I: 	Detonating Bomb BombEntity(X:12, Y:6, Radius:4, Timer:0, Owner:D)
19-04-2016 21:17:31:821 - D: 	Processing Player Commands
19-04-2016 21:17:31:821 - D: 	Applying player power ups
19-04-2016 21:17:31:821 - D: 	Destroying marked entities
19-04-2016 21:17:31:821 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:3)
19-04-2016 21:17:31:821 - D: 	Destroyed Entity DestructibleWallEntity(X:8, Y:6)
19-04-2016 21:17:31:821 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:7)
19-04-2016 21:17:31:822 - I: 	Player PlayerEntity(X:6, Y:14, Key:A) has a movement coverage of 9,96% for the map
19-04-2016 21:17:31:822 - I: 	Player PlayerEntity(X:15, Y:16, Key:B) has a movement coverage of 9,61% for the map
19-04-2016 21:17:31:822 - I: 	Player PlayerEntity(X:14, Y:8, Key:D) has a movement coverage of 7,83% for the map
19-04-2016 21:17:31:822 - D: 	Round processing complete
