
16-04-2016 22:11:14:908 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:5, Y:4, Key:A)
16-04-2016 22:11:15:252 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:17, Y:18, Key:B)
16-04-2016 22:11:15:562 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:5, Y:18, Key:C)
16-04-2016 22:11:15:868 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:17, Y:4, Key:D)
16-04-2016 22:11:15:868 - D: 	Beginning round processing
16-04-2016 22:11:15:868 - D: 	Removing Bomb Explosions from map
16-04-2016 22:11:15:868 - D: 	Decreasing Bomb Timers
16-04-2016 22:11:15:868 - D: 	Detonating Bombs
16-04-2016 22:11:15:868 - D: 	Processing Player Commands
16-04-2016 22:11:15:868 - D: 	Applying player power ups
16-04-2016 22:11:15:868 - D: 	Destroying marked entities
16-04-2016 22:11:15:868 - I: 	Player PlayerEntity(X:6, Y:4, Key:A) has a movement coverage of 2,49% for the map
16-04-2016 22:11:15:868 - I: 	Player PlayerEntity(X:16, Y:18, Key:B) has a movement coverage of 2,49% for the map
16-04-2016 22:11:15:868 - I: 	Player PlayerEntity(X:6, Y:18, Key:C) has a movement coverage of 2,49% for the map
16-04-2016 22:11:15:868 - I: 	Player PlayerEntity(X:16, Y:4, Key:D) has a movement coverage of 2,49% for the map
16-04-2016 22:11:15:868 - D: 	Round processing complete
