
19-04-2016 21:18:30:761 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:14, Y:14, Key:A)
19-04-2016 21:18:30:996 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:16, Key:D)
19-04-2016 21:18:30:996 - D: 	Beginning round processing
19-04-2016 21:18:30:996 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:30:996 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:30:996 - D: 	Detonating Bombs
19-04-2016 21:18:30:996 - D: 	Processing Player Commands
19-04-2016 21:18:30:996 - D: 	Applying player power ups
19-04-2016 21:18:30:996 - D: 	Destroying marked entities
19-04-2016 21:18:30:996 - I: 	Player PlayerEntity(X:13, Y:14, Key:A) has a movement coverage of 18,86% for the map
19-04-2016 21:18:30:996 - I: 	Player PlayerEntity(X:18, Y:16, Key:D) has a movement coverage of 18,51% for the map
19-04-2016 21:18:30:996 - D: 	Round processing complete
