
19-04-2016 21:18:20:174 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:8, Y:11, Key:A)
19-04-2016 21:18:20:400 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:15, Key:D)
19-04-2016 21:18:20:400 - D: 	Beginning round processing
19-04-2016 21:18:20:400 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:20:400 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:20:400 - D: 	Detonating Bombs
19-04-2016 21:18:20:400 - D: 	Processing Player Commands
19-04-2016 21:18:20:401 - D: 	Applying player power ups
19-04-2016 21:18:20:401 - D: 	Destroying marked entities
19-04-2016 21:18:20:401 - I: 	Player PlayerEntity(X:8, Y:12, Key:A) has a movement coverage of 16,01% for the map
19-04-2016 21:18:20:401 - I: 	Player PlayerEntity(X:14, Y:14, Key:D) has a movement coverage of 16,01% for the map
19-04-2016 21:18:20:401 - D: 	Round processing complete
