
19-04-2016 21:18:32:502 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:11, Y:14, Key:A)
19-04-2016 21:18:32:733 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:16, Y:16, Key:D)
19-04-2016 21:18:32:733 - D: 	Beginning round processing
19-04-2016 21:18:32:733 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:32:733 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:32:733 - D: 	Detonating Bombs
19-04-2016 21:18:32:733 - D: 	Processing Player Commands
19-04-2016 21:18:32:733 - D: 	Applying player power ups
19-04-2016 21:18:32:733 - D: 	Destroying marked entities
19-04-2016 21:18:32:733 - I: 	Player PlayerEntity(X:10, Y:14, Key:A) has a movement coverage of 18,86% for the map
19-04-2016 21:18:32:733 - I: 	Player PlayerEntity(X:15, Y:16, Key:D) has a movement coverage of 18,86% for the map
19-04-2016 21:18:32:733 - D: 	Round processing complete
