
19-04-2016 21:18:43:801 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:5, Y:18, Key:A)
19-04-2016 21:18:44:048 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:2, Y:13, Key:D)
19-04-2016 21:18:44:048 - D: 	Beginning round processing
19-04-2016 21:18:44:048 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:44:048 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:44:048 - D: 	Detonating Bombs
19-04-2016 21:18:44:048 - I: 	Detonating Bomb BombEntity(X:3, Y:16, Radius:16, Timer:0, Owner:A)
19-04-2016 21:18:44:048 - D: 	Processing Player Commands
19-04-2016 21:18:44:048 - D: 	Applying player power ups
19-04-2016 21:18:44:048 - D: 	Destroying marked entities
19-04-2016 21:18:44:048 - D: 	Destroyed Entity DestructibleWallEntity(X:2, Y:16)
19-04-2016 21:18:44:049 - I: 	Player PlayerEntity(X:6, Y:18, Key:A) has a movement coverage of 22,06% for the map
19-04-2016 21:18:44:049 - I: 	Player PlayerEntity(X:2, Y:13, Key:D) has a movement coverage of 23,49% for the map
19-04-2016 21:18:44:049 - D: 	Round processing complete
