
19-04-2016 21:18:00:219 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:9, Y:14, Key:A)
19-04-2016 21:18:00:443 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:14, Key:D)
19-04-2016 21:18:00:443 - D: 	Beginning round processing
19-04-2016 21:18:00:443 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:00:443 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:00:443 - D: 	Detonating Bombs
19-04-2016 21:18:00:443 - D: 	Processing Player Commands
19-04-2016 21:18:00:443 - D: 	Applying player power ups
19-04-2016 21:18:00:443 - D: 	Destroying marked entities
19-04-2016 21:18:00:443 - I: 	Player PlayerEntity(X:8, Y:14, Key:A) has a movement coverage of 13,52% for the map
19-04-2016 21:18:00:443 - I: 	Player PlayerEntity(X:16, Y:15, Key:D) has a movement coverage of 12,81% for the map
19-04-2016 21:18:00:443 - D: 	Round processing complete
