
19-04-2016 21:17:45:532 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:13, Key:A)
19-04-2016 21:17:45:836 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:17, Key:B)
19-04-2016 21:17:46:060 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:14, Y:9, Key:D)
19-04-2016 21:17:46:060 - D: 	Beginning round processing
19-04-2016 21:17:46:060 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:46:060 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:46:060 - D: 	Detonating Bombs
19-04-2016 21:17:46:060 - I: 	Detonating Bomb BombEntity(X:8, Y:14, Radius:4, Timer:0, Owner:A)
19-04-2016 21:17:46:060 - D: 	Processing Player Commands
19-04-2016 21:17:46:060 - D: 	Applying player power ups
19-04-2016 21:17:46:060 - D: 	Destroying marked entities
19-04-2016 21:17:46:060 - D: 	Destroyed Entity DestructibleWallEntity(X:8, Y:13)
19-04-2016 21:17:46:060 - D: 	Destroyed Entity DestructibleWallEntity(X:9, Y:14)
19-04-2016 21:17:46:061 - I: 	Player PlayerEntity(X:6, Y:12, Key:A) has a movement coverage of 11,03% for the map
19-04-2016 21:17:46:061 - I: 	Player PlayerEntity(X:6, Y:16, Key:B) has a movement coverage of 13,52% for the map
19-04-2016 21:17:46:061 - I: 	Player PlayerEntity(X:14, Y:9, Key:D) has a movement coverage of 9,25% for the map
19-04-2016 21:17:46:061 - D: 	Round processing complete
