
19-04-2016 21:19:09:005 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:20, Key:A)
19-04-2016 21:19:09:229 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:11, Key:D)
19-04-2016 21:19:09:229 - D: 	Beginning round processing
19-04-2016 21:19:09:229 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:09:229 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:09:230 - D: 	Detonating Bombs
19-04-2016 21:19:09:230 - D: 	Processing Player Commands
19-04-2016 21:19:09:230 - D: 	Applying player power ups
19-04-2016 21:19:09:230 - D: 	Destroying marked entities
19-04-2016 21:19:09:230 - I: 	Player PlayerEntity(X:4, Y:19, Key:A) has a movement coverage of 24,20% for the map
19-04-2016 21:19:09:230 - I: 	Player PlayerEntity(X:4, Y:12, Key:D) has a movement coverage of 30,96% for the map
19-04-2016 21:19:09:230 - D: 	Round processing complete
