
19-04-2016 21:18:26:158 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:12, Key:A)
19-04-2016 21:18:26:385 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:15, Y:14, Key:D)
19-04-2016 21:18:26:385 - D: 	Beginning round processing
19-04-2016 21:18:26:385 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:26:385 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:26:385 - D: 	Detonating Bombs
19-04-2016 21:18:26:385 - I: 	Detonating Bomb BombEntity(X:11, Y:11, Radius:16, Timer:0, Owner:A)
19-04-2016 21:18:26:385 - D: 	Processing Player Commands
19-04-2016 21:18:26:385 - D: 	Applying player power ups
19-04-2016 21:18:26:385 - D: 	Destroying marked entities
19-04-2016 21:18:26:385 - D: 	Destroyed Entity DestructibleWallEntity(X:11, Y:10)
19-04-2016 21:18:26:385 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:11)
19-04-2016 21:18:26:386 - I: 	Player PlayerEntity(X:10, Y:13, Key:A) has a movement coverage of 17,08% for the map
19-04-2016 21:18:26:386 - I: 	Player PlayerEntity(X:16, Y:14, Key:D) has a movement coverage of 16,37% for the map
19-04-2016 21:18:26:386 - D: 	Round processing complete
