
19-04-2016 21:18:43:075 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:5, Y:18, Key:A)
19-04-2016 21:18:43:352 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:14, Key:D)
19-04-2016 21:18:43:352 - D: 	Beginning round processing
19-04-2016 21:18:43:352 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:43:352 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:43:352 - D: 	Detonating Bombs
19-04-2016 21:18:43:352 - D: 	Processing Player Commands
19-04-2016 21:18:43:352 - D: 	Applying player power ups
19-04-2016 21:18:43:352 - D: 	Destroying marked entities
19-04-2016 21:18:43:352 - I: 	Player PlayerEntity(X:5, Y:18, Key:A) has a movement coverage of 21,71% for the map
19-04-2016 21:18:43:352 - I: 	Player PlayerEntity(X:2, Y:13, Key:D) has a movement coverage of 23,49% for the map
19-04-2016 21:18:43:352 - D: 	Round processing complete
