
19-04-2016 21:16:36:078 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:2, Y:4, Key:A)
19-04-2016 21:16:36:310 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:18, Y:20, Key:B)
19-04-2016 21:16:36:545 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:2, Y:18, Key:C)
19-04-2016 21:16:36:791 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:18, Y:2, Key:D)
19-04-2016 21:16:36:791 - D: 	Beginning round processing
19-04-2016 21:16:36:791 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:36:791 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:36:791 - D: 	Detonating Bombs
19-04-2016 21:16:36:791 - D: 	Processing Player Commands
19-04-2016 21:16:36:795 - D: 	Applying player power ups
19-04-2016 21:16:36:795 - D: 	Destroying marked entities
19-04-2016 21:16:36:795 - I: 	Player PlayerEntity(X:3, Y:4, Key:A) has a movement coverage of 1,42% for the map
19-04-2016 21:16:36:795 - I: 	Player PlayerEntity(X:18, Y:20, Key:B) has a movement coverage of 1,07% for the map
19-04-2016 21:16:36:795 - I: 	Player PlayerEntity(X:3, Y:18, Key:C) has a movement coverage of 1,42% for the map
19-04-2016 21:16:36:795 - I: 	Player PlayerEntity(X:18, Y:2, Key:D) has a movement coverage of 1,07% for the map
19-04-2016 21:16:36:795 - D: 	Round processing complete
