
19-04-2016 21:18:47:464 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:5, Y:18, Key:A)
19-04-2016 21:18:47:687 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:15, Key:D)
19-04-2016 21:18:47:687 - D: 	Beginning round processing
19-04-2016 21:18:47:687 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:47:687 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:47:687 - D: 	Detonating Bombs
19-04-2016 21:18:47:687 - D: 	Processing Player Commands
19-04-2016 21:18:47:687 - D: 	Applying player power ups
19-04-2016 21:18:47:687 - D: 	Destroying marked entities
19-04-2016 21:18:47:688 - I: 	Player PlayerEntity(X:5, Y:18, Key:A) has a movement coverage of 22,42% for the map
19-04-2016 21:18:47:688 - I: 	Player PlayerEntity(X:2, Y:16, Key:D) has a movement coverage of 24,56% for the map
19-04-2016 21:18:47:688 - D: 	Round processing complete
