
19-04-2016 21:19:01:856 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:11, Key:A)
19-04-2016 21:19:02:177 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:6, Key:D)
19-04-2016 21:19:02:177 - D: 	Beginning round processing
19-04-2016 21:19:02:177 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:02:177 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:02:177 - D: 	Detonating Bombs
19-04-2016 21:19:02:177 - D: 	Processing Player Commands
19-04-2016 21:19:02:177 - D: 	Applying player power ups
19-04-2016 21:19:02:177 - D: 	Destroying marked entities
19-04-2016 21:19:02:178 - I: 	Player PlayerEntity(X:6, Y:12, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:19:02:178 - I: 	Player PlayerEntity(X:6, Y:7, Key:D) has a movement coverage of 29,18% for the map
19-04-2016 21:19:02:178 - D: 	Round processing complete
