
19-04-2016 21:16:37:147 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:3, Y:4, Key:A)
19-04-2016 21:16:37:426 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:18, Y:20, Key:B)
19-04-2016 21:16:37:666 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:3, Y:18, Key:C)
19-04-2016 21:16:37:950 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:18, Y:2, Key:D)
19-04-2016 21:16:37:950 - D: 	Beginning round processing
19-04-2016 21:16:37:950 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:37:950 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:37:950 - D: 	Detonating Bombs
19-04-2016 21:16:37:950 - D: 	Processing Player Commands
19-04-2016 21:16:37:950 - D: 	Applying player power ups
19-04-2016 21:16:37:950 - D: 	Destroying marked entities
19-04-2016 21:16:37:950 - I: 	Player PlayerEntity(X:4, Y:4, Key:A) has a movement coverage of 1,78% for the map
19-04-2016 21:16:37:950 - I: 	Player PlayerEntity(X:19, Y:20, Key:B) has a movement coverage of 1,07% for the map
19-04-2016 21:16:37:950 - I: 	Player PlayerEntity(X:4, Y:18, Key:C) has a movement coverage of 1,78% for the map
19-04-2016 21:16:37:950 - I: 	Player PlayerEntity(X:19, Y:2, Key:D) has a movement coverage of 1,07% for the map
19-04-2016 21:16:37:950 - D: 	Round processing complete
