
19-04-2016 21:16:41:906 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:4, Y:6, Key:A)
19-04-2016 21:16:42:141 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:20, Y:18, Key:B)
19-04-2016 21:16:42:370 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:4, Y:16, Key:C)
19-04-2016 21:16:42:598 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:20, Y:4, Key:D)
19-04-2016 21:16:42:598 - D: 	Beginning round processing
19-04-2016 21:16:42:598 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:42:598 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:42:598 - D: 	Detonating Bombs
19-04-2016 21:16:42:598 - D: 	Processing Player Commands
19-04-2016 21:16:42:598 - D: 	Applying player power ups
19-04-2016 21:16:42:598 - D: 	Destroying marked entities
19-04-2016 21:16:42:599 - I: 	Player PlayerEntity(X:5, Y:6, Key:A) has a movement coverage of 2,85% for the map
19-04-2016 21:16:42:599 - I: 	Player PlayerEntity(X:19, Y:18, Key:B) has a movement coverage of 2,14% for the map
19-04-2016 21:16:42:599 - I: 	Player PlayerEntity(X:5, Y:16, Key:C) has a movement coverage of 2,85% for the map
19-04-2016 21:16:42:599 - I: 	Player PlayerEntity(X:19, Y:4, Key:D) has a movement coverage of 2,14% for the map
19-04-2016 21:16:42:599 - D: 	Round processing complete
