
16-04-2016 22:11:16:214 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:4, Key:A)
16-04-2016 22:11:16:445 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:16, Y:18, Key:B)
16-04-2016 22:11:16:677 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:18, Key:C)
16-04-2016 22:11:16:918 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:4, Key:D)
16-04-2016 22:11:16:918 - D: 	Beginning round processing
16-04-2016 22:11:16:918 - D: 	Removing Bomb Explosions from map
16-04-2016 22:11:16:918 - D: 	Decreasing Bomb Timers
16-04-2016 22:11:16:918 - D: 	Detonating Bombs
16-04-2016 22:11:16:918 - D: 	Processing Player Commands
16-04-2016 22:11:16:918 - D: 	Applying player power ups
16-04-2016 22:11:16:918 - D: 	Destroying marked entities
16-04-2016 22:11:16:918 - I: 	Player PlayerEntity(X:6, Y:5, Key:A) has a movement coverage of 2,85% for the map
16-04-2016 22:11:16:918 - I: 	Player PlayerEntity(X:16, Y:17, Key:B) has a movement coverage of 2,85% for the map
16-04-2016 22:11:16:918 - I: 	Player PlayerEntity(X:6, Y:17, Key:C) has a movement coverage of 2,85% for the map
16-04-2016 22:11:16:918 - I: 	Player PlayerEntity(X:16, Y:5, Key:D) has a movement coverage of 2,85% for the map
16-04-2016 22:11:16:918 - D: 	Round processing complete
