
19-04-2016 21:18:21:848 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:9, Y:12, Key:A)
19-04-2016 21:18:22:071 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:12, Y:14, Key:D)
19-04-2016 21:18:22:071 - D: 	Beginning round processing
19-04-2016 21:18:22:071 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:22:071 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:22:071 - D: 	Detonating Bombs
19-04-2016 21:18:22:071 - I: 	Detonating Bomb BombEntity(X:8, Y:11, Radius:8, Timer:0, Owner:A)
19-04-2016 21:18:22:071 - D: 	Processing Player Commands
19-04-2016 21:18:22:071 - D: 	Applying player power ups
19-04-2016 21:18:22:071 - D: 	Destroying marked entities
19-04-2016 21:18:22:071 - D: 	Destroyed Entity DestructibleWallEntity(X:8, Y:10)
19-04-2016 21:18:22:071 - I: 	Player PlayerEntity(X:10, Y:12, Key:A) has a movement coverage of 16,01% for the map
19-04-2016 21:18:22:071 - I: 	Player PlayerEntity(X:12, Y:13, Key:D) has a movement coverage of 16,37% for the map
19-04-2016 21:18:22:071 - D: 	Round processing complete
