
19-04-2016 21:17:32:996 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:13, Key:A)
19-04-2016 21:17:33:236 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:14, Y:16, Key:B)
19-04-2016 21:17:33:511 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:8, Key:D)
19-04-2016 21:17:33:511 - D: 	Beginning round processing
19-04-2016 21:17:33:511 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:33:511 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:33:511 - D: 	Detonating Bombs
19-04-2016 21:17:33:511 - D: 	Processing Player Commands
19-04-2016 21:17:33:511 - D: 	Applying player power ups
19-04-2016 21:17:33:511 - D: 	Destroying marked entities
19-04-2016 21:17:33:512 - I: 	Player PlayerEntity(X:6, Y:12, Key:A) has a movement coverage of 9,96% for the map
19-04-2016 21:17:33:512 - I: 	Player PlayerEntity(X:14, Y:16, Key:B) has a movement coverage of 9,96% for the map
19-04-2016 21:17:33:512 - I: 	Player PlayerEntity(X:14, Y:7, Key:D) has a movement coverage of 7,83% for the map
19-04-2016 21:17:33:512 - D: 	Round processing complete
