
19-04-2016 21:18:03:230 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:8, Y:12, Key:A)
19-04-2016 21:18:03:498 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:15, Key:D)
19-04-2016 21:18:03:498 - D: 	Beginning round processing
19-04-2016 21:18:03:498 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:03:499 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:03:499 - D: 	Detonating Bombs
19-04-2016 21:18:03:499 - D: 	Processing Player Commands
19-04-2016 21:18:03:499 - D: 	Applying player power ups
19-04-2016 21:18:03:499 - D: 	Destroying marked entities
19-04-2016 21:18:03:499 - I: 	Player PlayerEntity(X:8, Y:13, Key:A) has a movement coverage of 14,23% for the map
19-04-2016 21:18:03:499 - I: 	Player PlayerEntity(X:14, Y:14, Key:D) has a movement coverage of 14,59% for the map
19-04-2016 21:18:03:499 - D: 	Round processing complete
