
19-04-2016 21:18:38:373 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:3, Y:16, Key:A)
19-04-2016 21:18:38:618 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:6, Y:16, Key:D)
19-04-2016 21:18:38:618 - D: 	Beginning round processing
19-04-2016 21:18:38:618 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:38:618 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:38:618 - D: 	Detonating Bombs
19-04-2016 21:18:38:618 - D: 	Processing Player Commands
19-04-2016 21:18:38:618 - D: 	Applying player power ups
19-04-2016 21:18:38:618 - D: 	Destroying marked entities
19-04-2016 21:18:38:619 - I: 	Player PlayerEntity(X:3, Y:16, Key:A) has a movement coverage of 20,64% for the map
19-04-2016 21:18:38:619 - I: 	Player PlayerEntity(X:5, Y:16, Key:D) has a movement coverage of 21,35% for the map
19-04-2016 21:18:38:619 - D: 	Round processing complete
