
19-04-2016 21:16:39:564 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:4, Key:A)
19-04-2016 21:16:39:813 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:20, Y:20, Key:B)
19-04-2016 21:16:40:089 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:18, Key:C)
19-04-2016 21:16:40:321 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:20, Y:2, Key:D)
19-04-2016 21:16:40:321 - D: 	Beginning round processing
19-04-2016 21:16:40:321 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:40:321 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:40:321 - D: 	Detonating Bombs
19-04-2016 21:16:40:321 - D: 	Processing Player Commands
19-04-2016 21:16:40:321 - D: 	Applying player power ups
19-04-2016 21:16:40:321 - D: 	Destroying marked entities
19-04-2016 21:16:40:321 - I: 	Player PlayerEntity(X:4, Y:5, Key:A) has a movement coverage of 2,14% for the map
19-04-2016 21:16:40:321 - I: 	Player PlayerEntity(X:20, Y:19, Key:B) has a movement coverage of 1,42% for the map
19-04-2016 21:16:40:321 - I: 	Player PlayerEntity(X:4, Y:17, Key:C) has a movement coverage of 2,14% for the map
19-04-2016 21:16:40:321 - I: 	Player PlayerEntity(X:20, Y:3, Key:D) has a movement coverage of 1,42% for the map
19-04-2016 21:16:40:321 - D: 	Round processing complete
