
19-04-2016 21:17:22:065 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:15, Key:A)
19-04-2016 21:17:22:310 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:18, Y:10, Key:B)
19-04-2016 21:17:22:531 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:14, Y:6, Key:D)
19-04-2016 21:17:22:531 - D: 	Beginning round processing
19-04-2016 21:17:22:531 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:22:531 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:22:531 - D: 	Detonating Bombs
19-04-2016 21:17:22:531 - I: 	Detonating Bomb BombEntity(X:15, Y:10, Radius:1, Timer:0, Owner:B)
19-04-2016 21:17:22:531 - D: 	Processing Player Commands
19-04-2016 21:17:22:531 - D: 	Applying player power ups
19-04-2016 21:17:22:531 - D: 	Destroying marked entities
19-04-2016 21:17:22:531 - D: 	Destroyed Entity DestructibleWallEntity(X:14, Y:10)
19-04-2016 21:17:22:531 - I: 	Player PlayerEntity(X:6, Y:16, Key:A) has a movement coverage of 8,90% for the map
19-04-2016 21:17:22:531 - I: 	Player PlayerEntity(X:18, Y:10, Key:B) has a movement coverage of 8,54% for the map
19-04-2016 21:17:22:531 - I: 	Player PlayerEntity(X:14, Y:7, Key:D) has a movement coverage of 6,76% for the map
19-04-2016 21:17:22:531 - D: 	Round processing complete
