
19-04-2016 21:18:10:319 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:10, Y:13, Key:A)
19-04-2016 21:18:10:544 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:14, Y:15, Key:D)
19-04-2016 21:18:10:544 - D: 	Beginning round processing
19-04-2016 21:18:10:544 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:10:544 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:10:544 - D: 	Detonating Bombs
19-04-2016 21:18:10:544 - D: 	Processing Player Commands
19-04-2016 21:18:10:544 - D: 	Applying player power ups
19-04-2016 21:18:10:544 - D: 	Destroying marked entities
19-04-2016 21:18:10:544 - I: 	Player PlayerEntity(X:10, Y:13, Key:A) has a movement coverage of 14,95% for the map
19-04-2016 21:18:10:544 - I: 	Player PlayerEntity(X:14, Y:15, Key:D) has a movement coverage of 15,30% for the map
19-04-2016 21:18:10:544 - D: 	Round processing complete
