
19-04-2016 21:18:48:762 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:4, Y:18, Key:A)
19-04-2016 21:18:49:034 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:16, Key:D)
19-04-2016 21:18:49:034 - D: 	Beginning round processing
19-04-2016 21:18:49:034 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:49:034 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:49:034 - D: 	Detonating Bombs
19-04-2016 21:18:49:034 - D: 	Processing Player Commands
19-04-2016 21:18:49:034 - D: 	Applying player power ups
19-04-2016 21:18:49:034 - D: 	Destroying marked entities
19-04-2016 21:18:49:035 - I: 	Player PlayerEntity(X:4, Y:18, Key:A) has a movement coverage of 22,42% for the map
19-04-2016 21:18:49:035 - I: 	Player PlayerEntity(X:2, Y:16, Key:D) has a movement coverage of 24,56% for the map
19-04-2016 21:18:49:035 - D: 	Round processing complete
