
19-04-2016 21:17:59:492 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:10, Y:14, Key:A)
19-04-2016 21:17:59:841 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:13, Key:D)
19-04-2016 21:17:59:841 - D: 	Beginning round processing
19-04-2016 21:17:59:841 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:59:841 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:59:841 - D: 	Detonating Bombs
19-04-2016 21:17:59:841 - I: 	Detonating Bomb BombEntity(X:15, Y:12, Radius:8, Timer:0, Owner:D)
19-04-2016 21:17:59:841 - D: 	Processing Player Commands
19-04-2016 21:17:59:841 - D: 	Applying player power ups
19-04-2016 21:17:59:841 - D: 	Destroying marked entities
19-04-2016 21:17:59:841 - D: 	Destroyed Entity DestructibleWallEntity(X:14, Y:12)
19-04-2016 21:17:59:841 - I: 	Player PlayerEntity(X:9, Y:14, Key:A) has a movement coverage of 13,52% for the map
19-04-2016 21:17:59:841 - I: 	Player PlayerEntity(X:16, Y:14, Key:D) has a movement coverage of 12,46% for the map
19-04-2016 21:17:59:841 - D: 	Round processing complete
