
19-04-2016 21:17:21:243 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:14, Key:A)
19-04-2016 21:17:21:503 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:17, Y:10, Key:B)
19-04-2016 21:17:21:727 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:15, Y:6, Key:D)
19-04-2016 21:17:21:727 - D: 	Beginning round processing
19-04-2016 21:17:21:727 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:21:727 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:21:727 - D: 	Detonating Bombs
19-04-2016 21:17:21:727 - I: 	Detonating Bomb BombEntity(X:16, Y:8, Radius:4, Timer:0, Owner:D)
19-04-2016 21:17:21:727 - D: 	Processing Player Commands
19-04-2016 21:17:21:727 - D: 	Applying player power ups
19-04-2016 21:17:21:727 - D: 	Destroying marked entities
19-04-2016 21:17:21:727 - D: 	Destroyed Entity DestructibleWallEntity(X:15, Y:8)
19-04-2016 21:17:21:727 - D: 	Destroyed Entity DestructibleWallEntity(X:19, Y:8)
19-04-2016 21:17:21:727 - I: 	Player PlayerEntity(X:6, Y:15, Key:A) has a movement coverage of 8,54% for the map
19-04-2016 21:17:21:727 - I: 	Player PlayerEntity(X:18, Y:10, Key:B) has a movement coverage of 8,54% for the map
19-04-2016 21:17:21:727 - I: 	Player PlayerEntity(X:14, Y:6, Key:D) has a movement coverage of 6,41% for the map
19-04-2016 21:17:21:727 - D: 	Round processing complete
