
19-04-2016 21:17:55:049 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:16, Key:A)
19-04-2016 21:17:55:412 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:16, Y:13, Key:D)
19-04-2016 21:17:55:412 - D: 	Beginning round processing
19-04-2016 21:17:55:412 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:55:412 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:55:412 - D: 	Detonating Bombs
19-04-2016 21:17:55:412 - D: 	Processing Player Commands
19-04-2016 21:17:55:412 - D: 	Applying player power ups
19-04-2016 21:17:55:412 - D: 	Destroying marked entities
19-04-2016 21:17:55:412 - I: 	Player PlayerEntity(X:10, Y:17, Key:A) has a movement coverage of 13,17% for the map
19-04-2016 21:17:55:412 - I: 	Player PlayerEntity(X:16, Y:13, Key:D) has a movement coverage of 12,10% for the map
19-04-2016 21:17:55:412 - D: 	Round processing complete
