
19-04-2016 21:19:11:806 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:18, Key:A)
19-04-2016 21:19:12:027 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:13, Key:D)
19-04-2016 21:19:12:027 - D: 	Beginning round processing
19-04-2016 21:19:12:027 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:12:027 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:12:027 - D: 	Detonating Bombs
19-04-2016 21:19:12:027 - D: 	Processing Player Commands
19-04-2016 21:19:12:027 - D: 	Applying player power ups
19-04-2016 21:19:12:027 - D: 	Destroying marked entities
19-04-2016 21:19:12:027 - I: 	Player PlayerEntity(X:2, Y:17, Key:A) has a movement coverage of 25,27% for the map
19-04-2016 21:19:12:027 - I: 	Player PlayerEntity(X:2, Y:14, Key:D) has a movement coverage of 31,32% for the map
19-04-2016 21:19:12:027 - D: 	Round processing complete
