
19-04-2016 21:18:41:673 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:17, Key:A)
19-04-2016 21:18:41:944 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:4, Y:14, Key:D)
19-04-2016 21:18:41:944 - D: 	Beginning round processing
19-04-2016 21:18:41:944 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:41:944 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:41:944 - D: 	Detonating Bombs
19-04-2016 21:18:41:944 - D: 	Processing Player Commands
19-04-2016 21:18:41:944 - D: 	Applying player power ups
19-04-2016 21:18:41:944 - D: 	Destroying marked entities
19-04-2016 21:18:41:944 - I: 	Player PlayerEntity(X:4, Y:18, Key:A) has a movement coverage of 21,35% for the map
19-04-2016 21:18:41:944 - I: 	Player PlayerEntity(X:3, Y:14, Key:D) has a movement coverage of 22,78% for the map
19-04-2016 21:18:41:944 - D: 	Round processing complete
