
19-04-2016 21:17:30:578 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:7, Y:14, Key:A)
19-04-2016 21:17:30:799 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:15, Key:B)
19-04-2016 21:17:31:025 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:14, Y:7, Key:D)
19-04-2016 21:17:31:025 - D: 	Beginning round processing
19-04-2016 21:17:31:025 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:31:025 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:31:025 - D: 	Detonating Bombs
19-04-2016 21:17:31:025 - D: 	Processing Player Commands
19-04-2016 21:17:31:025 - D: 	Applying player power ups
19-04-2016 21:17:31:025 - D: 	Destroying marked entities
19-04-2016 21:17:31:026 - I: 	Player PlayerEntity(X:7, Y:14, Key:A) has a movement coverage of 9,96% for the map
19-04-2016 21:17:31:026 - I: 	Player PlayerEntity(X:16, Y:16, Key:B) has a movement coverage of 9,61% for the map
19-04-2016 21:17:31:026 - I: 	Player PlayerEntity(X:14, Y:7, Key:D) has a movement coverage of 7,47% for the map
19-04-2016 21:17:31:026 - D: 	Round processing complete
