
19-04-2016 21:17:56:415 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:10, Y:18, Key:A)
19-04-2016 21:17:56:640 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:16, Y:12, Key:D)
19-04-2016 21:17:56:640 - D: 	Beginning round processing
19-04-2016 21:17:56:640 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:56:640 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:56:640 - D: 	Detonating Bombs
19-04-2016 21:17:56:640 - D: 	Processing Player Commands
19-04-2016 21:17:56:641 - D: 	Applying player power ups
19-04-2016 21:17:56:641 - D: 	Destroying marked entities
19-04-2016 21:17:56:641 - I: 	Player PlayerEntity(X:10, Y:17, Key:A) has a movement coverage of 13,52% for the map
19-04-2016 21:17:56:641 - I: 	Player PlayerEntity(X:15, Y:12, Key:D) has a movement coverage of 12,46% for the map
19-04-2016 21:17:56:641 - D: 	Round processing complete
