
19-04-2016 21:18:06:731 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:15, Key:A)
19-04-2016 21:18:07:011 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:13, Y:16, Key:D)
19-04-2016 21:18:07:011 - D: 	Beginning round processing
19-04-2016 21:18:07:011 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:07:011 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:07:011 - D: 	Detonating Bombs
19-04-2016 21:18:07:011 - D: 	Processing Player Commands
19-04-2016 21:18:07:011 - D: 	Applying player power ups
19-04-2016 21:18:07:011 - D: 	Destroying marked entities
19-04-2016 21:18:07:011 - I: 	Player PlayerEntity(X:10, Y:16, Key:A) has a movement coverage of 14,23% for the map
19-04-2016 21:18:07:011 - I: 	Player PlayerEntity(X:13, Y:16, Key:D) has a movement coverage of 14,95% for the map
19-04-2016 21:18:07:011 - D: 	Round processing complete
