
19-04-2016 21:18:25:515 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:10, Y:12, Key:A)
19-04-2016 21:18:25:763 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:14, Y:14, Key:D)
19-04-2016 21:18:25:763 - D: 	Beginning round processing
19-04-2016 21:18:25:763 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:25:763 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:25:763 - D: 	Detonating Bombs
19-04-2016 21:18:25:763 - D: 	Processing Player Commands
19-04-2016 21:18:25:763 - D: 	Applying player power ups
19-04-2016 21:18:25:763 - D: 	Destroying marked entities
19-04-2016 21:18:25:763 - I: 	Player PlayerEntity(X:10, Y:12, Key:A) has a movement coverage of 17,08% for the map
19-04-2016 21:18:25:763 - I: 	Player PlayerEntity(X:15, Y:14, Key:D) has a movement coverage of 16,37% for the map
19-04-2016 21:18:25:763 - D: 	Round processing complete
