
19-04-2016 21:17:42:698 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:7, Y:14, Key:A)
19-04-2016 21:17:43:025 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:17, Key:B)
19-04-2016 21:17:43:301 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:12, Y:8, Key:D)
19-04-2016 21:17:43:301 - D: 	Beginning round processing
19-04-2016 21:17:43:301 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:43:301 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:43:301 - D: 	Detonating Bombs
19-04-2016 21:17:43:301 - D: 	Processing Player Commands
19-04-2016 21:17:43:301 - D: 	Applying player power ups
19-04-2016 21:17:43:301 - D: 	Destroying marked entities
19-04-2016 21:17:43:301 - I: 	Player PlayerEntity(X:6, Y:14, Key:A) has a movement coverage of 11,03% for the map
19-04-2016 21:17:43:301 - I: 	Player PlayerEntity(X:6, Y:18, Key:B) has a movement coverage of 13,52% for the map
19-04-2016 21:17:43:301 - I: 	Player PlayerEntity(X:13, Y:8, Key:D) has a movement coverage of 8,90% for the map
19-04-2016 21:17:43:301 - D: 	Round processing complete
