
19-04-2016 21:18:26:725 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:13, Key:A)
19-04-2016 21:18:26:947 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:16, Y:14, Key:D)
19-04-2016 21:18:26:947 - D: 	Beginning round processing
19-04-2016 21:18:26:947 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:26:947 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:26:947 - D: 	Detonating Bombs
19-04-2016 21:18:26:947 - D: 	Processing Player Commands
19-04-2016 21:18:26:947 - D: 	Applying player power ups
19-04-2016 21:18:26:947 - D: 	Destroying marked entities
19-04-2016 21:18:26:948 - I: 	Player PlayerEntity(X:10, Y:14, Key:A) has a movement coverage of 17,08% for the map
19-04-2016 21:18:26:948 - I: 	Player PlayerEntity(X:17, Y:14, Key:D) has a movement coverage of 16,73% for the map
19-04-2016 21:18:26:948 - D: 	Round processing complete
