
19-04-2016 21:18:27:287 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:10, Y:14, Key:A)
19-04-2016 21:18:27:511 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:17, Y:14, Key:D)
19-04-2016 21:18:27:512 - D: 	Beginning round processing
19-04-2016 21:18:27:512 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:27:512 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:27:512 - D: 	Detonating Bombs
19-04-2016 21:18:27:512 - D: 	Processing Player Commands
19-04-2016 21:18:27:512 - D: 	Applying player power ups
19-04-2016 21:18:27:512 - D: 	Destroying marked entities
19-04-2016 21:18:27:512 - I: 	Player PlayerEntity(X:11, Y:14, Key:A) has a movement coverage of 17,44% for the map
19-04-2016 21:18:27:512 - I: 	Player PlayerEntity(X:18, Y:14, Key:D) has a movement coverage of 17,08% for the map
19-04-2016 21:18:27:512 - D: 	Round processing complete
