
19-04-2016 21:18:22:948 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:10, Y:11, Key:A)
19-04-2016 21:18:23:218 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:12, Y:13, Key:D)
19-04-2016 21:18:23:219 - D: 	Beginning round processing
19-04-2016 21:18:23:219 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:23:219 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:23:219 - D: 	Detonating Bombs
19-04-2016 21:18:23:219 - D: 	Processing Player Commands
19-04-2016 21:18:23:219 - D: 	Applying player power ups
19-04-2016 21:18:23:219 - D: 	Destroying marked entities
19-04-2016 21:18:23:219 - I: 	Player PlayerEntity(X:11, Y:11, Key:A) has a movement coverage of 16,73% for the map
19-04-2016 21:18:23:219 - I: 	Player PlayerEntity(X:12, Y:14, Key:D) has a movement coverage of 16,37% for the map
19-04-2016 21:18:23:219 - D: 	Round processing complete
