
19-04-2016 21:17:56:985 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:10, Y:17, Key:A)
19-04-2016 21:17:57:203 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:15, Y:12, Key:D)
19-04-2016 21:17:57:203 - D: 	Beginning round processing
19-04-2016 21:17:57:203 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:57:203 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:57:203 - D: 	Detonating Bombs
19-04-2016 21:17:57:203 - D: 	Processing Player Commands
19-04-2016 21:17:57:203 - D: 	Applying player power ups
19-04-2016 21:17:57:203 - D: 	Destroying marked entities
19-04-2016 21:17:57:204 - I: 	Player PlayerEntity(X:10, Y:16, Key:A) has a movement coverage of 13,52% for the map
19-04-2016 21:17:57:204 - I: 	Player PlayerEntity(X:15, Y:12, Key:D) has a movement coverage of 12,46% for the map
19-04-2016 21:17:57:204 - D: 	Round processing complete
