
19-04-2016 21:18:46:909 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:6, Y:18, Key:A)
19-04-2016 21:18:47:134 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:14, Key:D)
19-04-2016 21:18:47:134 - D: 	Beginning round processing
19-04-2016 21:18:47:134 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:47:134 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:47:134 - D: 	Detonating Bombs
19-04-2016 21:18:47:134 - D: 	Processing Player Commands
19-04-2016 21:18:47:134 - D: 	Applying player power ups
19-04-2016 21:18:47:134 - D: 	Destroying marked entities
19-04-2016 21:18:47:134 - I: 	Player PlayerEntity(X:5, Y:18, Key:A) has a movement coverage of 22,42% for the map
19-04-2016 21:18:47:134 - I: 	Player PlayerEntity(X:2, Y:15, Key:D) has a movement coverage of 24,20% for the map
19-04-2016 21:18:47:134 - D: 	Round processing complete
