
19-04-2016 21:16:35:035 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:3, Key:A)
19-04-2016 21:16:35:270 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:20, Key:B)
19-04-2016 21:16:35:506 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:19, Key:C)
19-04-2016 21:16:35:735 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:2, Key:D)
19-04-2016 21:16:35:735 - D: 	Beginning round processing
19-04-2016 21:16:35:735 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:35:735 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:35:735 - D: 	Detonating Bombs
19-04-2016 21:16:35:735 - D: 	Processing Player Commands
19-04-2016 21:16:35:735 - D: 	Applying player power ups
19-04-2016 21:16:35:735 - D: 	Destroying marked entities
19-04-2016 21:16:35:735 - I: 	Player PlayerEntity(X:2, Y:4, Key:A) has a movement coverage of 1,07% for the map
19-04-2016 21:16:35:735 - I: 	Player PlayerEntity(X:18, Y:20, Key:B) has a movement coverage of 1,07% for the map
19-04-2016 21:16:35:735 - I: 	Player PlayerEntity(X:2, Y:18, Key:C) has a movement coverage of 1,07% for the map
19-04-2016 21:16:35:735 - I: 	Player PlayerEntity(X:18, Y:2, Key:D) has a movement coverage of 1,07% for the map
19-04-2016 21:16:35:735 - D: 	Round processing complete
