
19-04-2016 21:18:51:851 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:19, Key:A)
19-04-2016 21:18:52:081 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:3, Y:14, Key:D)
19-04-2016 21:18:52:081 - D: 	Beginning round processing
19-04-2016 21:18:52:081 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:52:081 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:52:081 - D: 	Detonating Bombs
19-04-2016 21:18:52:081 - I: 	Detonating Bomb BombEntity(X:2, Y:16, Radius:16, Timer:0, Owner:D)
19-04-2016 21:18:52:081 - D: 	Processing Player Commands
19-04-2016 21:18:52:081 - D: 	Applying player power ups
19-04-2016 21:18:52:081 - D: 	Destroying marked entities
19-04-2016 21:18:52:081 - D: 	Destroyed Entity DestructibleWallEntity(X:2, Y:11)
19-04-2016 21:18:52:081 - D: 	Destroyed Entity DestructibleWallEntity(X:2, Y:17)
19-04-2016 21:18:52:081 - I: 	Player PlayerEntity(X:4, Y:18, Key:A) has a movement coverage of 23,13% for the map
19-04-2016 21:18:52:081 - I: 	Player PlayerEntity(X:4, Y:14, Key:D) has a movement coverage of 24,56% for the map
19-04-2016 21:18:52:081 - D: 	Round processing complete
