
19-04-2016 21:17:18:712 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:11, Key:A)
19-04-2016 21:17:18:945 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:15, Y:10, Key:B)
19-04-2016 21:17:19:172 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:16, Y:8, Key:D)
19-04-2016 21:17:19:172 - D: 	Beginning round processing
19-04-2016 21:17:19:172 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:19:172 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:19:172 - D: 	Detonating Bombs
19-04-2016 21:17:19:172 - I: 	Detonating Bomb BombEntity(X:6, Y:8, Radius:2, Timer:0, Owner:A)
19-04-2016 21:17:19:172 - D: 	Processing Player Commands
19-04-2016 21:17:19:172 - D: 	Applying player power ups
19-04-2016 21:17:19:172 - D: 	Destroying marked entities
19-04-2016 21:17:19:172 - D: 	Destroyed Entity DestructibleWallEntity(X:7, Y:8)
19-04-2016 21:17:19:172 - I: 	Player PlayerEntity(X:6, Y:12, Key:A) has a movement coverage of 7,47% for the map
19-04-2016 21:17:19:172 - I: 	Player PlayerEntity(X:15, Y:10, Key:B) has a movement coverage of 7,83% for the map
19-04-2016 21:17:19:172 - I: 	Player PlayerEntity(X:16, Y:7, Key:D) has a movement coverage of 6,41% for the map
19-04-2016 21:17:19:172 - D: 	Round processing complete
