
19-04-2016 21:18:54:180 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:18, Key:A)
19-04-2016 21:18:54:406 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:13, Key:D)
19-04-2016 21:18:54:406 - D: 	Beginning round processing
19-04-2016 21:18:54:406 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:54:406 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:54:406 - D: 	Detonating Bombs
19-04-2016 21:18:54:406 - D: 	Processing Player Commands
19-04-2016 21:18:54:406 - D: 	Applying player power ups
19-04-2016 21:18:54:406 - D: 	Destroying marked entities
19-04-2016 21:18:54:406 - I: 	Player PlayerEntity(X:6, Y:17, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:18:54:406 - I: 	Player PlayerEntity(X:6, Y:12, Key:D) has a movement coverage of 25,98% for the map
19-04-2016 21:18:54:406 - D: 	Round processing complete
